num_demande;heure_depart;coord_origin_x coord_origin_y;coord_dest_x coord_dest_y
9128;07:00:00;846874.1398 6519542.655;844793.9419 6519425.809
9129;07:00:00;843456.2793 6520506.051;844496.0095 6518637.529
9130;07:00:00;844166.6784 6519150.756;843148.9639 6518997.184
9131;07:00:00;841860.9495 6514037.742;842970.6556 6518255.231
9132;07:00:00;838297.0179 6519808.649;840448.3209 6518101.463
9133;07:00:01;843278.2115 6520037.479;840757.0095 6514681.71
9134;07:00:01;847214.1777 6522231.717;847327.538 6521189.774
9135;07:00:01;845823.762 6517255.451;847385.4894 6520634.796
9136;07:00:01;843513.8858 6518856.102;844097.6705 6516923.061
9137;07:00:01;848282.5612 6519723.159;846185.1403 6522587.131
9138;07:00:01;838394.8643 6519750.834;848105.1981 6520629.491
9139;07:00:01;844886.0514 6521653.517;841984.4128 6519337.587
9140;07:00:01;838297.0179 6519808.649;844371.2429 6519193.924
9141;07:00:02;848064.32 6516844.165;839472.1336 6520626.164
9142;07:00:02;838446.3511 6516462.053;842612.9521 6512391.827
9143;07:00:02;844328.9476 6515921.43;845541.6817 6517711.427
9144;07:00:03;847405.1424 6522371.882;838384.2401 6519748.948
9145;07:00:03;842081.0563 6515799.683;846813.3887 6515156.766
9146;07:00:03;844288.9585 6514512.87;848030.8359 6516071.329
9147;07:00:03;846687.6772 6515639.581;845398.6721 6516904.621
9148;07:00:03;842085.204 6518476.824;845683.4333 6521192.72
9149;07:00:04;847108.6752 6517856.805;848058.5022 6516827.363
9150;07:00:04;843653.2412 6511679.292;842612.9521 6512391.827
9151;07:00:04;843805.0503 6518887.894;843088.2211 6518566.221
9152;07:00:04;843196.7843 6518495.995;848058.5022 6516827.363
9153;07:00:04;847214.1777 6522231.717;846017.0989 6521478.358
9154;07:00:04;846824.2491 6515158.136;848030.8359 6516071.329
9155;07:00:04;839505.6658 6521191.659;841966.1146 6518380.76
9156;07:00:05;843115.4653 6520017.002;846813.3887 6515156.766
9157;07:00:05;844288.9585 6514512.87;841903.3534 6519682.283
9158;07:00:06;840058.9388 6517750.438;844636.8827 6515132.884
9159;07:00:06;838494.7422 6521231.894;838632.8424 6519097.301
9161;07:00:07;840764.1547 6514606.161;839904.7421 6515028.798
9162;07:00:07;844873.5077 6517239.021;847075.9136 6517266.387
9163;07:00:07;839051.3039 6520654.469;838645.9528 6521048.512
9164;07:00:07;840341.0 6521979.0;844065.7579 6520004.823
9165;07:00:08;838297.0179 6519808.649;840403.1204 6518656.603
9166;07:00:08;840764.1547 6514606.161;842143.3519 6518249.344
9167;07:00:08;846100.9584 6522134.629;848410.0004 6518585.079
9168;07:00:08;844065.8484 6516920.093;845091.9788 6518929.298
9169;07:00:08;847292.2504 6517766.57;847872.1594 6517781.519
9170;07:00:08;844857.9033 6519679.121;842153.0244 6520818.863
9171;07:00:09;838494.7422 6521231.894;840819.1487 6519292.963
9172;07:00:09;840764.1547 6514606.161;844706.0886 6520668.557
9173;07:00:09;846613.622 6517955.401;843491.806 6519746.995
9174;07:00:09;841806.2718 6522267.102;842750.2761 6523012.136
9175;07:00:09;846824.2491 6515158.136;843421.3337 6518435.482
9176;07:00:09;842118.6897 6520690.325;842429.9638 6519838.89
9177;07:00:10;839104.2726 6517516.615;848030.8359 6516071.329
9178;07:00:10;842337.2954 6518571.53;837603.1631 6518446.139
9179;07:00:10;847405.1424 6522371.882;848626.1678 6519918.092
9180;07:00:10;847405.1424 6522371.882;841191.5392 6518179.609
9182;07:00:11;847938.312 6516101.313;844271.8425 6514581.23
9183;07:00:12;838493.8211 6520191.898;845650.3386 6519996.688
9184;07:00:12;839637.1078 6521658.604;844670.856 6520685.327
9185;07:00:12;840764.1547 6514606.161;841544.7029 6518579.858
9186;07:00:12;847405.1424 6522371.882;841817.8012 6521634.308
9187;07:00:13;844288.9585 6514512.87;844882.0245 6515251.478
9188;07:00:13;838488.018 6515283.056;841605.7238 6514493.118
9189;07:00:13;844426.5718 6516068.796;848030.8359 6516071.329
9190;07:00:13;842671.4354 6513164.721;843614.0549 6511823.084
9191;07:00:14;838494.7422 6521231.894;847713.5276 6518761.293
9193;07:00:14;844288.9585 6514512.87;847105.7749 6517210.256
9194;07:00:15;846168.5653 6518088.401;846813.3887 6515156.766
9195;07:00:15;842702.0475 6516768.118;848030.8359 6516071.329
9196;07:00:15;844838.9419 6517139.683;844271.8425 6514581.23
9197;07:00:15;848064.32 6516844.165;844271.8425 6514581.23
9198;07:00:15;839468.6292 6519125.828;843322.7197 6518497.824
9199;07:00:15;845734.9936 6516572.583;845345.6485 6517077.152
9200;07:00:15;844288.9585 6514512.87;844371.2429 6519193.924
9201;07:00:15;847405.1424 6522371.882;846904.4218 6519502.802
9202;07:00:16;846111.9553 6517918.207;846186.2816 6522407.057
9203;07:00:16;844517.267 6520112.083;844914.3555 6520449.14
9204;07:00:16;841955.192 6519592.396;840757.0095 6514681.71
9205;07:00:16;846824.2491 6515158.136;846356.2737 6516796.826
9206;07:00:16;837520.5794 6518364.542;839443.9379 6518625.627
9207;07:00:16;848094.1605 6520634.2;844546.4212 6522103.351
9208;07:00:16;838394.8643 6519750.834;839401.9227 6520037.049
9209;07:00:16;840764.1547 6514606.161;841551.4914 6514236.766
9210;07:00:16;842476.1711 6522385.238;841604.9075 6519677.61
9211;07:00:17;844406.8535 6519801.032;842148.3335 6518739.325
9212;07:00:17;842728.3712 6521883.046;840719.303 6521984.362
9213;07:00:17;843653.2412 6511679.292;842307.1584 6515577.203
9214;07:00:17;843581.6513 6519697.753;842176.3246 6518504.483
9215;07:00:17;841099.4756 6522863.027;841676.9624 6523298.06
9216;07:00:17;838394.8643 6519750.834;843820.5089 6520848.842
9217;07:00:18;840090.9802 6520856.173;839318.0032 6520903.9
9218;07:00:18;844098.1925 6516800.532;846001.3137 6522533.263
9219;07:00:18;841737.4741 6519434.727;838425.764 6519833.21
9220;07:00:18;838488.018 6515283.056;839961.8839 6515047.873
9221;07:00:18;843211.5296 6520929.014;842139.1035 6520602.899
9222;07:00:19;845169.6614 6521092.785;848105.1981 6520629.491
9223;07:00:19;846750.3977 6516327.183;846813.3887 6515156.766
9224;07:00:19;844004.6405 6518197.909;848030.8359 6516071.329
9225;07:00:19;841870.3927 6520574.492;844016.1394 6519203.872
9226;07:00:19;844551.7598 6515113.106;846715.8563 6515413.072
9227;07:00:19;840976.7951 6521267.845;838388.0091 6516628.113
9228;07:00:19;844299.7624 6519192.626;846365.9093 6519857.093
9229;07:00:20;847405.1424 6522371.882;847783.0639 6518639.156
9230;07:00:20;847214.1777 6522231.717;846813.3887 6515156.766
9231;07:00:20;842538.3832 6512317.894;844721.4826 6515717.011
9232;07:00:20;840764.1547 6514606.161;843471.639 6515985.312
9233;07:00:20;844303.1121 6520313.435;844758.1108 6522307.43
9234;07:00:20;837520.5794 6518364.542;840956.6328 6519703.837
9235;07:00:20;846824.2491 6515158.136;843077.09 6519313.234
9236;07:00:20;847608.6767 6519742.123;844271.8425 6514581.23
9237;07:00:20;841143.7903 6519405.397;842752.6843 6520036.338
9238;07:00:21;844288.9585 6514512.87;848410.0004 6518585.079
9239;07:00:21;838488.018 6515283.056;843349.9537 6520128.02
9240;07:00:21;840021.0062 6518446.271;844804.9608 6520341.029
9241;07:00:21;838109.7398 6517174.883;837603.1631 6518446.139
9242;07:00:22;848094.1605 6520634.2;843274.2343 6519495.115
9243;07:00:22;845766.757 6517978.87;842550.2439 6519851.694
9244;07:00:22;848686.5822 6519991.76;846840.75 6516470.462
9245;07:00:22;847214.1777 6522231.717;845033.7177 6521690.768
9246;07:00:23;843653.2412 6511679.292;842612.9521 6512391.827
9247;07:00:23;844522.3483 6522840.924;844695.2427 6521367.057
