ID;DEPARTURE;ORIGIN;DESTINATION
0;00:00:02;E_1067024224;S_82607707_T_58231974_toRef
1;00:00:02;E_1073571631;S_82611857_T_62946995_toRef
2;00:00:02;E_800028683_T_704007186_toRef;S_82607798
3;00:00:03;E_881234027;S_1035659569
4;00:00:04;E_1073571631;S_82607798
5;00:00:05;E_01;S_545413229_T_61615192_FRef
6;00:00:05;E_826832663;S_01
7;00:00:05;E_876550037;S_82611819
8;00:00:06;E_82607718;S_82607369_T_549690291_toRef
9;00:00:07;E_545413229_T_61615192_toRef;S_82607798
10;00:00:08;E_1067024224;S_82607707_T_58231974_toRef
11;00:00:08;E_82607284;S_543466840_T_58307472_FRef
12;00:00:08;R_82607770;S_82607798
13;00:00:09;E_876550037;S_826832662
14;00:00:10;E_545413229_T_61615192_toRef;S_82612072
15;00:00:11;E_762997770_T_549690255_toRef;S_762997770_T_549690255_FRef
16;00:00:12;E_01;S_543466840_T_58307472_FRef
17;00:00:13;E_82607718;S_82612072
18;00:00:14;E_800028683_T_704007186_toRef;S_82607707_T_58231974_toRef
19;00:00:15;E_545413229_T_61615192_toRef;S_82612072
20;00:00:15;E_82607284;S_1073547799
21;00:00:16;E_762997770_T_549690255_toRef;S_82607700
22;00:00:17;E_01;S_82611865
23;00:00:18;E_1070389113_T_1085062159_FRef;S_545413229_T_61615192_FRef
24;00:00:18;E_82607284;S_82607707_T_58231974_toRef
25;00:00:18;E_82607718;S_543466840_T_58307472_FRef
26;00:00:18;E_826832663;S_82611865
27;00:00:19;E_545413229_T_61615192_toRef;S_1070389113_T_1085062159_toRef
28;00:00:19;E_881234027;S_82611857_T_62946995_toRef
29;00:00:20;E_82607718;S_1035659569
30;00:00:20;E_876550037;S_82612072
31;00:00:20;R_82611870;S_545413229_T_61615192_FRef
32;00:00:21;E_01;S_01
33;00:00:21;E_82607284;S_82607369_T_549690291_toRef
34;00:00:21;E_82611957;S_1070389113_T_1085062159_toRef
35;00:00:21;R_82612082;S_82607720
36;00:00:22;E_1073571631;S_543466840_T_58307472_FRef
37;00:00:22;E_876550037;S_82607720
38;00:00:23;E_82611957;S_82612072
39;00:00:23;R_82611988;S_545413229_T_61615192_FRef
40;00:00:24;E_82607284;S_82607700
41;00:00:24;E_82607718;S_800028683_T_704007186_FRef
42;00:00:25;E_545413229_T_61615192_toRef;S_82607369_T_549690291_toRef
43;00:00:26;E_545413229_T_61615192_toRef;S_82607707_T_58231974_toRef
44;00:00:26;E_82607718;S_82612072
45;00:00:30;E_82607284;S_1035659569
46;00:00:31;E_545413229_T_61615192_toRef;S_01
47;00:00:32;R_82607883;S_01
48;00:00:33;E_545413229_T_61615192_toRef;S_1073547799
49;00:00:33;E_876550037;S_82611857_T_62946995_toRef
50;00:00:33;C_82607901;S_762997770_T_549690255_FRef
51;00:00:34;E_82607718;S_1035659569
