user_id;departure_time;origin;destination
0;00:00:02;843922.0026 6519835.9383;843239.396612 6520073.970101
1;00:00:02;844593.286 6520218.2902;844351.726293 6519883.539212
2;00:00:02;844512.298762 6520356.013368;843656.9246 6519834.1696
3;00:00:03;844431.3324 6520823.2025;843901.0703 6519866.5502
4;00:00:04;844593.286 6520218.2902;843656.9246 6519834.1696
5;00:00:05;844462.989651 6520644.367132;842874.672878 6520886.775799
6;00:00:05;843146.8685 6519868.9029;843312.089858 6521426.578666
7;00:00:05;844393.8087 6519808.1447;844194.3295 6519860.1052
8;00:00:06;843409.824 6519795.0649;842930.346171 6520447.476392
9;00:00:07;842872.935922 6520868.859801;843656.9246 6519834.1696
10;00:00:08;843922.0026 6519835.9383;843239.396612 6520073.970101
11;00:00:08;842966.987225 6519878.761507;843703.726664 6519971.126841
12;00:00:08;843421.7149 6520317.4241;843656.9246 6519834.1696
13;00:00:09;844393.8087 6519808.1447;843112.7044 6519866.9951
14;00:00:10;842872.935922 6520868.859801;844480.5433 6520450.0164
15;00:00:11;844341.165194 6520945.856138;844343.432406 6520934.072262
16;00:00:12;844462.989651 6520644.367132;843703.726664 6519971.126841
17;00:00:13;843409.824 6519795.0649;844480.5433 6520450.0164
18;00:00:14;844512.298762 6520356.013368;843239.396612 6520073.970101
19;00:00:15;842872.935922 6520868.859801;844480.5433 6520450.0164
20;00:00:15;842966.987225 6519878.761507;844591.4105 6519934.9879
21;00:00:16;844341.165194 6520945.856138;843317.6397 6519780.692
22;00:00:17;844462.989651 6520644.367132;844359.524784 6519939.593822
23;00:00:18;844018.253593 6520300.667484;842874.672878 6520886.775799
24;00:00:18;842966.987225 6519878.761507;843239.396612 6520073.970101
25;00:00:18;843409.824 6519795.0649;843703.726664 6519971.126841
26;00:00:18;843146.8685 6519868.9029;844359.524784 6519939.593822
27;00:00:19;842872.935922 6520868.859801;844012.319007 6520299.783916
28;00:00:19;844431.3324 6520823.2025;844351.726293 6519883.539212
29;00:00:20;843409.824 6519795.0649;843901.0703 6519866.5502
30;00:00:20;844393.8087 6519808.1447;844480.5433 6520450.0164
31;00:00:20;844234.9756 6520115.4371;842874.672878 6520886.775799
32;00:00:21;844462.989651 6520644.367132;843312.089858 6521426.578666
33;00:00:21;842966.987225 6519878.761507;842930.346171 6520447.476392
34;00:00:21;844404.4784 6519817.2823;844012.319007 6520299.783916
35;00:00:21;844421.097 6520729.653;843481.8564 6519806.7462
36;00:00:22;844593.286 6520218.2902;843703.726664 6519971.126841
37;00:00:22;844393.8087 6519808.1447;843481.8564 6519806.7462
38;00:00:23;844404.4784 6519817.2823;844480.5433 6520450.0164
39;00:00:23;844409.3926 6520103.9884;842874.672878 6520886.775799
40;00:00:24;842966.987225 6519878.761507;843317.6397 6519780.692
41;00:00:24;843409.824 6519795.0649;844512.440038 6520350.015032
42;00:00:25;842872.935922 6520868.859801;842930.346171 6520447.476392
43;00:00:26;842872.935922 6520868.859801;843239.396612 6520073.970101
44;00:00:26;843409.824 6519795.0649;844480.5433 6520450.0164
45;00:00:30;842966.987225 6519878.761507;843901.0703 6519866.5502
46;00:00:31;842872.935922 6520868.859801;843312.089858 6521426.578666
47;00:00:32;843945.2577 6520070.8655;843312.089858 6521426.578666
48;00:00:33;842872.935922 6520868.859801;844591.4105 6519934.9879
49;00:00:33;844393.8087 6519808.1447;844351.726293 6519883.539212
50;00:00:33;843670.99357325 6520609.066809501;844343.432406 6520934.072262
51;00:00:34;843409.824 6519795.0649;843901.0703 6519866.5502
52;00:00:34;844431.3324 6520823.2025;843112.7044 6519866.9951
53;00:00:35;842966.987225 6519878.761507;842930.346171 6520447.476392
54;00:00:35;844393.8087 6519808.1447;844012.319007 6520299.783916
55;00:00:36;844593.286 6520218.2902;843703.726664 6519971.126841
56;00:00:36;842872.935922 6520868.859801;843481.8564 6519806.7462
57;00:00:36;843409.824 6519795.0649;843317.6397 6519780.692
58;00:00:37;844462.989651 6520644.367132;842874.672878 6520886.775799
59;00:00:37;844431.3324 6520823.2025;844343.432406 6520934.072262
60;00:00:38;844341.165194 6520945.856138;843312.089858 6521426.578666
61;00:00:38;842966.987225 6519878.761507;843703.726664 6519971.126841
62;00:00:39;844462.989651 6520644.367132;843481.8564 6519806.7462
63;00:00:39;844512.298762 6520356.013368;843317.6397 6519780.692
64;00:00:39;844393.8087 6519808.1447;843312.089858 6521426.578666
65;00:00:39;844431.3324 6520823.2025;843312.089858 6521426.578666
66;00:00:40;842966.987225 6519878.761507;844359.524784 6519939.593822
67;00:00:40;844404.4784 6519817.2823;842874.672878 6520886.775799
68;00:00:41;844512.298762 6520356.013368;844012.319007 6520299.783916
69;00:00:41;843173.65 6520020.598;843239.396612 6520073.970101
70;00:00:42;843409.824 6519795.0649;844194.3295 6519860.1052
71;00:00:43;844431.3324 6520823.2025;844512.440038 6520350.015032
72;00:00:44;844462.989651 6520644.367132;843312.089858 6521426.578666
73;00:00:44;843922.0026 6519835.9383;843112.7044 6519866.9951
74;00:00:44;842872.935922 6520868.859801;844480.5433 6520450.0164
75;00:00:44;842966.987225 6519878.761507;844591.4105 6519934.9879
76;00:00:44;843146.8685 6519868.9029;843112.7044 6519866.9951
77;00:00:44;844393.8087 6519808.1447;844480.5433 6520450.0164
78;00:00:44;844431.3324 6520823.2025;844591.4105 6519934.9879
79;00:00:44;843363.0719 6521096.9536;844022.7772 6520080.4604
80;00:00:45;843245.331788 6520074.849699;843481.8564 6519806.7462
81;00:00:46;844462.989651 6520644.367132;843317.6397 6519780.692
82;00:00:46;842872.935922 6520868.859801;842930.346171 6520447.476392
83;00:00:46;844341.165194 6520945.856138;844591.4105 6519934.9879
84;00:00:46;843409.824 6519795.0649;843317.6397 6519780.692
85;00:00:47;843283.17 6521456.1002;843112.7044 6519866.9951
86;00:00:47;844393.8087 6519808.1447;844012.319007 6520299.783916
87;00:00:48;844462.989651 6520644.367132;843901.0703 6519866.5502
88;00:00:48;844272.5762 6519871.9419;844343.432406 6520934.072262
89;00:00:48;844431.3324 6520823.2025;843112.7044 6519866.9951
90;00:00:49;842872.935922 6520868.859801;843481.8564 6519806.7462
91;00:00:50;843409.824 6519795.0649;843112.7044 6519866.9951
92;00:00:51;844462.989651 6520644.367132;844512.440038 6520350.015032
93;00:00:51;843442.8781 6521207.6787;843955.5762 6519995.5723
94;00:00:52;842966.987225 6519878.761507;844012.319007 6520299.783916
95;00:00:52;843409.824 6519795.0649;843901.0703 6519866.5502
96;00:00:52;844431.3324 6520823.2025;843901.0703 6519866.5502
97;00:00:52;844431.3324 6520823.2025;843481.8564 6519806.7462
98;00:00:54;842872.935922 6520868.859801;844351.726293 6519883.539212
99;00:00:54;844357.689507 6519884.202588;843901.0703 6519866.5502
100;00:00:55;844462.989651 6520644.367132;843239.396612 6520073.970101
101;00:00:55;843409.824 6519795.0649;843112.7044 6519866.9951
102;00:00:55;844431.3324 6520823.2025;843901.0703 6519866.5502
103;00:00:56;842872.935922 6520868.859801;843239.396612 6520073.970101
104;00:00:56;842966.987225 6519878.761507;843656.9246 6519834.1696
105;00:00:56;843409.824 6519795.0649;843312.089858 6521426.578666
106;00:00:57;844393.8087 6519808.1447;844343.432406 6520934.072262
107;00:00:58;842872.935922 6520868.859801;844480.5433 6520450.0164
108;00:00:58;842966.987225 6519878.761507;843317.6397 6519780.692
109;00:00:58;843409.824 6519795.0649;843901.0703 6519866.5502
110;00:00:58;844310.6543 6520533.7723;842874.672878 6520886.775799
111;00:01:00;843409.824 6519795.0649;843239.396612 6520073.970101
112;00:01:01;842966.987225 6519878.761507;842874.672878 6520886.775799
113;00:01:02;842872.935922 6520868.859801;843901.0703 6519866.5502
114;00:01:02;843409.824 6519795.0649;842874.672878 6520886.775799
115;00:01:03;843146.8685 6519868.9029;843703.726664 6519971.126841
116;00:01:04;844462.989651 6520644.367132;843317.6397 6519780.692
117;00:01:04;842872.935922 6520868.859801;843656.9246 6519834.1696
118;00:01:04;842966.987225 6519878.761507;842930.346171 6520447.476392
119;00:01:06;842966.987225 6519878.761507;844480.5433 6520450.0164
120;00:01:06;844404.5008 6520212.7332;843703.726664 6519971.126841
121;00:01:07;843409.824 6519795.0649;843239.396612 6520073.970101
122;00:01:08;844393.8087 6519808.1447;844591.4105 6519934.9879
123;00:01:09;844457.0490542001 6520433.668989601;842874.672878 6520886.775799
124;00:01:10;844593.286 6520218.2902;843901.0703 6519866.5502
125;00:01:10;842872.935922 6520868.859801;844343.432406 6520934.072262
126;00:01:10;844431.3324 6520823.2025;843901.0703 6519866.5502
127;00:01:11;843409.824 6519795.0649;844194.3295 6519860.1052
128;00:01:11;844393.8087 6519808.1447;844591.4105 6519934.9879
129;00:01:11;844431.3324 6520823.2025;844512.440038 6520350.015032
130;00:01:12;844593.286 6520218.2902;844512.440038 6520350.015032
131;00:01:12;842966.987225 6519878.761507;843703.726664 6519971.126841
132;00:01:12;842930.874029 6520435.488008;843317.6397 6519780.692
133;00:01:12;843283.17 6521456.1002;842874.672878 6520886.775799
134;00:01:12;843378.6143 6520997.3439;844145.8167 6520171.1041
135;00:01:13;843428.0685999999 6520145.396899999;843312.089858 6521426.578666
136;00:01:15;842966.987225 6519878.761507;844480.5433 6520450.0164
137;00:01:15;843409.824 6519795.0649;844359.524784 6519939.593822
138;00:01:15;844421.097 6520729.653;844512.440038 6520350.015032
139;00:01:16;842872.935922 6520868.859801;843656.9246 6519834.1696
