ID;DEPARTURE;ORIGIN;DESTINATION
1;06:30:01;848239.4032 6518628.467;844697.3757 6519207.735
21;06:30:08;844522.6098 6522825.926;844738.3997 6519537.449
23;06:30:09;848468.4616 6519816.521;845539.4639 6523178.975
26;06:30:10;846964.7699 6519825.525;844682.3803 6519207.364
30;06:30:11;844692.7954 6520335.323;846167.9194 6519372.497
34;06:30:13;845645.0084 6520368.307;845206.1388 6520898.145
45;06:30:17;844893.4862 6519583.395;847066.0941 6519157.352
51;06:30:18;846628.1838 6520236.592;845843.1263 6519680.457
55;06:30:20;843816.3039 6520320.199;845973.4421 6522170.554
57;06:30:20;843086.1076 6520340.691;844737.7268 6519596.638
70;06:30:27;846838.038 6520087.606;844460.415 6519268.42
71;06:30:27;847274.6899 6519570.029;844678.8083 6520553.847
84;06:30:37;843252.5483 6519771.396;845869.3559 6520658.559
97;06:30:45;844676.0198 6520797.865;844481.9177 6520284.248
102;06:30:48;844990.4988 6520450.939;844116.2844 6520369.246
105;06:30:49;844727.5941 6520555.813;844001.5705 6520222.147
107;06:30:50;846251.6954 6519984.336;845919.7921 6521901.268
117;06:30:54;844989.3464 6519545.595;847009.3707 6520259.044
126;06:30:59;845924.4375 6522052.746;845474.5211 6522397.444
129;06:31:01;844737.6938 6519602.638;847466.258 6520140.041
130;06:31:04;848056.7286 6520143.235;847394.3656 6521406.685
131;06:31:05;846976.1304 6519525.235;848371.0102 6520011.78
132;06:31:05;847149.8638 6519846.962;844922.8957 6519758.413
136;06:31:09;845932.7829 6520646.608;843963.3623 6519916.741
151;06:31:18;846355.2836 6519520.26;843941.3852 6520566.797
159;06:31:22;844886.0514 6521653.517;844690.8835 6522276.712
161;06:31:23;844415.2706 6519498.02;843458.6418 6520486.044
174;06:31:29;843467.2071 6519902.976;847255.3415 6520149.416
180;06:31:34;844771.7963 6519425.12;844469.11 6521382.111
190;06:31:40;843820.5089 6520848.842;847666.2386 6519292.845
194;06:31:44;846990.9572 6519177.768;843405.9699 6520824.697
214;06:31:54;847126.2293 6521253.814;843919.7641 6520726.758
219;06:31:56;847608.6767 6519742.123;843471.1748 6519997.556
222;06:31:57;846123.6567 6520267.877;848020.5449 6518949.248
225;06:31:59;843833.1053 6520377.423;843918.166 6519814.117
230;06:32:00;847227.3866 6519888.812;845991.2041 6521749.893
236;06:32:07;844787.2695 6520696.288;846316.5819 6520556.914
240;06:32:08;845413.094 6523209.4;843489.1094 6520922.048
248;06:32:15;845746.0519 6519734.588;844025.6641 6520354.899
251;06:32:16;845787.5763 6519513.006;843115.4653 6520017.002
256;06:32:19;843600.8063 6522437.141;847652.5523 6520285.368
257;06:32:19;848390.4089 6519796.859;844502.0154 6519394.83
261;06:32:23;844345.1614 6519959.182;846399.5267 6522218.247
270;06:32:27;846319.5192 6520542.37;845069.7429 6521475.585
276;06:32:30;846122.695 6520284.694;844404.9565 6520501.973
281;06:32:32;843072.9945 6520884.009;844375.0799 6519758.128
302;06:32:45;843300.902 6519896.785;845954.023 6520241.623
321;06:32:55;842984.1953 6520443.842;847279.8823 6521426.346
322;06:32:55;843404.6731 6520314.804;844631.6644 6519381.639
327;06:32:57;843922.6974 6522654.106;843410.1347 6519795.473
329;06:32:58;845938.8614 6519636.975;846472.4505 6522753.332
333;06:32:59;843932.383 6520648.353;844682.3803 6519207.364
335;06:33:00;843983.9968 6519423.911;844543.3759 6521544.539
