idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;validite;gid;code_insee;lon;lat
8050;Bataille / Krüger;Face 140, Rue Bataille;;Lyon 8e Arrondissement;;18;;Logements;True;Monté;Validé;1;69388;4,879737377129184;45,73626799350977
1001;Terreaux / Terme;33, Rue Terme;Angle Rue d'Algérie;Lyon 1er Arrondissement;1;16;;Centre ville;True;Monté;Validé;17;69381;4,832135062190833;45,767734686387236
9011;Conservatoire;Face 40, Quai Chauveau;Angle Pont Général Koenig;Lyon 9e Arrondissement;11;19;;Conservatoire National de Musique;True;Monté;Validé;32;69389;4,812676219585405;45,76978221217475
3051;Place Henri;Place Henri;Face 5, Cours Docteur Long;Lyon 3e Arrondissement;51;13;;Maillage;True;Monté;Validé;18;69383;4,880593958171215;45,748186906192544
2019;Sucrière;Place Chevalier de Saint-Georges;;Lyon 2e Arrondissement;;20;;La Sucrière - Quai Rambaud;True;Monté;Validé;23;69382;4,815335028749903;45,73618158210351
2009;Confluence / Docks;41, Quai Rambaud;Angle Rue Hrant Dink;Lyon 2e Arrondissement;9;26;;Confluence - Les Docks;True;Monté;Validé;31;69382;4,815025930643814;45,739627587350526
3081;Part-Dieu / Francfort;27, Rue Maurice Flandin;;Lyon 3e Arrondissement;81;28;;Gare SNCF;True;Monté;Validé;35;69383;4,863086249828633;45,76060855566148
10110;Mémoire et Société;Face 1, Rue Valentin Haüy;;Villeurbanne;110;24;;Centre Mémoire et Société - Itinéraire cyclable;True;Monté;Validé;20;69266;4,882734546527102;45,759574361518936
2012;Gailleton;3, Place Gailleton;;Lyon 2e Arrondissement;12;16;;Commerces - Pont de l'Université - Logements;True;Monté;Validé;16;69382;4,833364551802372;45,753449502638404
5041;L'Homme de la Roche;Face 56, Quai Pierre Scize;Place Bourgneuf;Lyon 5e Arrondissement;41;21;;Itinéraire cyclable - Commerces - Logements;True;Monté;Validé;5;69385;4,820230242298261;45,76658034430817
6028;Récamier / Tête d'Or;Face 10, Rue Juliette Récamier;Angle Rue Tête d'Or;Lyon 6e Arrondissement;28;16;;Maillage;True;Monté;Validé;9;69386;4,853492129706198;45,76433369757857
8011;Place Lebret;Place Lebret;Angle Route de Vienne;Lyon 8e Arrondissement;11;14;;Coeur quartier;True;Monté;Validé;19;69388;4,853042654470077;45,73565038813955
13001;Décines - Centre;27, Rue Emile Bertrand;;Décines-Charpieu;;20;;Meyzieu Tram T3;True;Monté;Validé;230;69275;4,955766787611089;45,771873329654014
